fatalities,date,location,carrier,flight,type
2907,2001-09-11,"New York City, New York",American /United Airlines,11/93,B767 / B767
583,1977-03-27,"Tenerife, Canary Islands",Pan Am / KLM,1736/4805,B747 / B747
520,1985-08-12,"Mt. Osutaka, Japan",Japan Air Lines,123,B747
349,1996-11-12,"New Delhi, India",Saudi / Kazastan,763/1907,B747 / Il76
346,1974-03-03,"Bois d' Ermenonville, France",Turkish Airlines,981,DC10
329,1985-06-23,Atlantic Ocean West of Ireland,Air India,182,B747
301,1980-08-19,"Riyadh, Saudi Arabia",Saudi Arabian Airlines,163,L1011
298,2014-07-17,"Hrabove, Ukraine",Malaysia Airlines,17,B-777
290,1988-07-03,Persian Gulf,Iran Air,655,A300
275,2003-02-19,"Shahdad, Iran",Islamic Revolution's Guards Co.,,Il-76MD
273,1979-05-25,"Chicago, Illinois",American Airlines,191,DC10
270,1988-12-21,"Lockerbie, Scotland",Pan American World Airways,103,B747
269,1983-09-01,"Sakhalin Island, Russia",Korean Airlines,007,B747
265,2001-11-12,"Belle Harbor, Queens, New York",American Airlines,587,A300
264,1994-04-26,"Komaki, Japan",China Airlines,140,A300
261,1991-07-11,"Jeddah, Saudi Arabia",Nationair/charter Nigeria AW,2021,DC8
257,2018-04-11,"Bufarik AB, Algeria",Algerian Air Force,,Il76
257,1979-11-28,"Mt. Erebus, Antarctica",Air New Zealand,901,DC10
256,1985-12-12,"Gander, Newfoundland, Canada",Arrow Airways,MF1285R,DC8
239,2014-03-08,South Indian Ocean,Malaysia Airlines,370,B777
234,1997-09-26,"Buah Nabar, Indonesia",Garuda Indonesia Airlines,152,A300
230,1996-07-17,"Off East Moriches, New York",Trans World Airlines,800,B747
229,1998-09-02,"Off Nova Scotia, Canada",Swissair,111,MD11
228,2009-06-01,Atlantic Ocean,Air France,447,A330
228,1997-08-06,"Agana, Guam",Korean Airlines,801,B747
227,1996-01-08,"Kinshasa, Zaire",African Air,,AN32
225,2002-05-25,"Off Penghu, Taiwan",China Airlines,611,B747
224,2015-10-31,"North Sinai, Egypt",Metroair,9268,A321
223,1991-05-26,"Ban Nong Rong, Thailand",Lauda Air,004,B767
217,1999-10-31,"Off Nantucket, Massachusetts",EgyptAir,990,B767
213,1978-01-01,"Off Bandra, Maharashtra, India",Air India,855,B747
203,1998-02-16,"Taipei, Taiwan",China Airlines,676,A300
200,1985-07-10,"Uchuduk, Uzbekistan, USSR",Aeroflot,7425,TU154
199,2007-07-17,"Sao Paulo, Brazil",TAM Brazil,3054,A320
191,1974-12-04,"Maskeliya, Sri Lanka",Martinair Holland,138,DC8
189,2001-09-11,"Arlington, Virginia",American Airlines,77,B757
